"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Variable,Opacity,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
branding 2,,,header (variant 1) - loader,,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,,Fail,Fail,Task #139,
branding 2,,,header (variant 2) - loader,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,,header (variant 1) - breadcrumbs,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,,header (variant 1) - page title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,,header (variant 2) - breadcrumbs,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,,header (variant 2) - page title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,,header with carousel (variant 1) - next/previous,next/previous style c - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,opacity 0.5,,header with carousel (variant 1) - next/previous,next/previous style c (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,,header with carousel (variant 1) - next/previous,next/previous style c (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,,header with carousel (variant 1) - next/previous,next/previous style c - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,opacity 0.5,,header with carousel (variant 1) - next/previous,next/previous style c (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,,header with carousel (variant 1) - next/previous,next/previous style c (hover) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,,header with carousel (variant 2) - next/previous,next/previous style c - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,opacity 0.5,,header with carousel (variant 2) - next/previous,next/previous style c (disabled) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,,header with carousel (variant 2) - next/previous,next/previous style c (hover) - background,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,,header with carousel (variant 2) - next/previous,next/previous style c - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,opacity 0.5,,header with carousel (variant 2) - next/previous,next/previous style c (disabled) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,,,header with carousel (variant 2) - next/previous,next/previous style c (hover) - arrow,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,,header with carousel (variant 1) - pagination,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,,header with carousel (variant 2) - pagination,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,,header with video (variant 1) - controls background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,,,header with video (variant 2) - controls background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,opacity 0.9,,header with video (variant 1) - controls background (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 2,opacity 0.9,,header with video (variant 2) - controls background (hover),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,,header with video (variant 1) - controls text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding white,,,header with video (variant 2) - controls text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,,featured paragraph (top of page) (variant 1) - text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 3,,,featured paragraph (top of page) (variant 2) - text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 4,,,featured paragraph (top of page) (variant 1) - background,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,wysiwyg,copy on light - body text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,opacity 0.2,wysiwyg,copy on light - divider,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
branding 1,,wysiwyg,copy on light - featured paragraph (inline),,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
