CMS,Component,Sub-component,Padding start,Variable,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID,Comments,,,
Page title,title - image (variant 1),breadcrumbs,bottom,?,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,,,Not started,Not started,,,,,
Page title,title - image (variant 2),breadcrumbs,top,?,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,,,Not started,Not started,,,,,
Page title,title - image (variant 2),breadcrumbs,bottom,?,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,,,Not started,Not started,,,,,
Page title,title - no image (variant 1),breadcrumbs,bottom,?,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,,,Not started,Not started,,,,ct text + image,Padding A
Page title,title - no image (variant 2),breadcrumbs,bottom,?,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,,,Not started,Not started,,,,ct image + text,Padding B
Page title,title - video (variant 1),breadcrumbs,bottom,?,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,,,Not started,Not started,,,,ct text + text,Padding C
Page title,title - video (variant 2),breadcrumbs,top,?,,,,,,,,,,,,,,,,ct full-width image,Padding D
Page title,title - video (variant 2),breadcrumbs,bottom,?,,,,,,,,,,,,,,,,ct full-width image with centred text,Padding E
Page title,title - image carousel (variant 1),breadcrumbs,bottom,?,,,,,,,,,,,,,,,,ct full-width image with text + text,Padding F
Page title,title - image carousel (variant 2),breadcrumbs,top,?,,,,,,,,,,,,,,,,ct full-width image with left text,Padding G
Page title,title - image carousel (variant 2),breadcrumbs,bottom,?,,,,,,,,,,,,,,,,ct full-width image with right text,Padding H
Page title,title - image (variant 1),heading,bottom,?,,,,,,,,,,,,,,,,ct text + video,
Page title,title - image (variant 2),heading,bottom,?,,,,,,,,,,,,,,,,ct video + text,
Page title,title - no image (variant 1),heading,bottom,?,,,,,,,,,,,,,,,,ct text + image carousel,
Page title,title - no image (variant 2),heading,bottom,?,,,,,,,,,,,,,,,,ct image carousel + text,
Page title,title - video (variant 1),heading,bottom,?,,,,,,,,,,,,,,,,ct text + events,
Page title,title - video (variant 2),heading,bottom,?,,,,,,,,,,,,,,,,ct events + text,
Page title,title - image carousel (variant 1),heading,bottom,?,,,,,,,,,,,,,,,,ct text + socials,
Page title,title - image carousel (variant 2),heading,bottom,?,,,,,,,,,,,,,,,,ct socials + text,
Page title,pagination - image carousel (variant 1),pagination,bottom,?,,,,,,,,,,,,,,,,ct text + promos,
Page title,pagination - image carousel (variant 2),pagination,bottom,?,,,,,,,,,,,,,,,,ct promos + text,
Page title,pagination - image carousel (variant 2),pagination,left,?,,,,,,,,,,,,,,,,ct text + portals,
First paragraph,featured paragraph (top of the page) (variant 1),,top,?,,,,,,,,,,,,,,,,ct portals + text,
First paragraph,featured paragraph (top of the page) (variant 1),,bottom,?,,,,,,,,,,,,,,,,ct quotes + image,
First paragraph,featured paragraph (top of the page) (variant 1),,left,?,,,,,,,,,,,,,,,,ct image + quotes,
First paragraph,featured paragraph (top of the page) (variant 1),,right,?,,,,,,,,,,,,,,,,ct text + stats,
First paragraph,featured paragraph (top of the page) (variant 2),,left,?,,,,,,,,,,,,,,,,ct stats + text,
First paragraph,featured paragraph (top of the page) (variant 2),,right,?,,,,,,,,,,,,,,,,ct text + profiles,
WYSIWYG text formatting,button primary,,top,?,,,,,,,,,,,,,,,,ct profiles + text,
WYSIWYG text formatting,button primary,,bottom,?,,,,,,,,,,,,,,,,ct text + cards,
